copy_number	standard_dilution	ct_value	date_collection	qpcr_name
5548000	0.0001000000000000000000	17.581	18_11_2016	01052020IM1
5548000	0.0001000000000000000000	17.568	18_11_2016	01052020IM1
5548000	0.0001000000000000000000	17.434	18_11_2016	01052020IM1
554800	0.0000100000000000000000	20.926	18_11_2016	01052020IM1
554800	0.0000100000000000000000	20.834	18_11_2016	01052020IM1
554800	0.0000100000000000000000	20.961	18_11_2016	01052020IM1
55480	0.0000010000000000000000	24.265	18_11_2016	01052020IM1
55480	0.0000010000000000000000	24.244	18_11_2016	01052020IM1
55480	0.0000010000000000000000	24.165	18_11_2016	01052020IM1
5548	0.0000001000000000000000	27.739	18_11_2016	01052020IM1
5548	0.0000001000000000000000	27.751	18_11_2016	01052020IM1
5548	0.0000001000000000000000	27.771	18_11_2016	01052020IM1
554.8	0.0000000100000000000000	31.278	18_11_2016	01052020IM1
554.8	0.0000000100000000000000	31.217	18_11_2016	01052020IM1
554.8	0.0000000100000000000000	31.312	18_11_2016	01052020IM1
55.48	0.0000000010000000000000	34.743	18_11_2016	01052020IM1
55.48	0.0000000010000000000000	34.872	18_11_2016	01052020IM1
55.48	0.0000000010000000000000	34.261	18_11_2016	01052020IM1
5.548	0.0000000001000000000000	37.827	18_11_2016	01052020IM1
5.548	0.0000000001000000000000	36.456	18_11_2016	01052020IM1
5.548	0.0000000001000000000000	38.344	18_11_2016	01052020IM1
0.5548	0.0000000000100000000000	NA	18_11_2016	01052020IM1
0.5548	0.0000000000100000000000	39.764	18_11_2016	01052020IM1
0.5548	0.0000000000100000000000	NA	18_11_2016	01052020IM1
5548000	0.0001000000000000000000	17.149	18_11_2016	01052020IM2
5548000	0.0001000000000000000000	17.25	18_11_2016	01052020IM2
5548000	0.0001000000000000000000	16.841	18_11_2016	01052020IM2
554800	0.0000100000000000000000	20.501	18_11_2016	01052020IM2
554800	0.0000100000000000000000	20.485	18_11_2016	01052020IM2
554800	0.0000100000000000000000	20.487	18_11_2016	01052020IM2
55480	0.0000010000000000000000	23.891	18_11_2016	01052020IM2
55480	0.0000010000000000000000	23.88	18_11_2016	01052020IM2
55480	0.0000010000000000000000	23.907	18_11_2016	01052020IM2
5548	0.0000001000000000000000	27.543	18_11_2016	01052020IM2
5548	0.0000001000000000000000	27.357	18_11_2016	01052020IM2
5548	0.0000001000000000000000	27.432	18_11_2016	01052020IM2
554.8	0.0000000100000000000000	30.988	18_11_2016	01052020IM2
554.8	0.0000000100000000000000	30.885	18_11_2016	01052020IM2
554.8	0.0000000100000000000000	30.983	18_11_2016	01052020IM2
55.48	0.0000000010000000000000	34.379	18_11_2016	01052020IM2
55.48	0.0000000010000000000000	34.329	18_11_2016	01052020IM2
55.48	0.0000000010000000000000	34.41	18_11_2016	01052020IM2
5.548	0.0000000001000000000000	37.383	18_11_2016	01052020IM2
5.548	0.0000000001000000000000	37.274	18_11_2016	01052020IM2
5.548	0.0000000001000000000000	39.161	18_11_2016	01052020IM2
0.5548	0.0000000000100000000000	39.776	18_11_2016	01052020IM2
0.5548	0.0000000000100000000000	NA	18_11_2016	01052020IM2
0.5548	0.0000000000100000000000	NA	18_11_2016	01052020IM2
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
