tank	date_collection	qpcr_name	sample_dilution	ct_value	cal_curve
tank A	18/11/2016	01052020IM1	1	25.168	01052020IM1
tank A	18/11/2016	01052020IM1	1	25.271	01052020IM1
tank A	18/11/2016	01052020IM1	1	24.914	01052020IM1
tank A	18/11/2016	01052020IM1	1	25.186	01052020IM1
tank A	18/11/2016	01052020IM1	1	24.881	01052020IM1
tank A	18/11/2016	01052020IM1	1	25.008	01052020IM1
tank A	18/11/2016	01052020IM1	1	25.134	01052020IM1
tank A	18/11/2016	01052020IM1	1	24.888	01052020IM1
tank A	18/11/2016	01052020IM1	1	25.182	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-01	28.31	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-01	28.124	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-01	28.312	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-01	28.11	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-01	28.131	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-01	28.195	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-01	28.126	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-01	28.233	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-02	31.647	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-02	31.527	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-02	31.883	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-02	31.599	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-02	31.558	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-02	31.899	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-02	31.946	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-02	31.713	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-03	35.523	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-03	36.733	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-03	35.221	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-03	35.125	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-03	34.899	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-03	35.091	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-03	34.697	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-03	34.914	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-04	38.009	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-04	38.979	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-04	39.302	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-04	37.682	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-04	37.302	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-04	37.409	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-04	39.114	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-04	39.579	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-05	NA	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-05	NA	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-05	NA	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-05	NA	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-05	39.541	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-05	NA	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-05	NA	01052020IM1
tank A	18/11/2016	01052020IM1	1.00E-05	NA	01052020IM1
