Target	SQ	rep.number	Cq
2404	554800	1	20.63
2404	554800	2	20.62
2404	554800	3	20.59
2404	55480	1	23.4
2404	55480	2	23.08
2404	55480	3	22.99
2404	5548	1	26.59
2404	5548	2	26.5
2404	5548	3	26.44
2404	554.8	1	29.9
2404	554.8	2	29.86
2404	554.8	3	30.04
2404	55.48	1	33.57
2404	55.48	2	33.18
2404	55.48	3	33.53
2404	5.548	1	36.55
2404	5.548	2	36.93
2404	5.548	3	36.28
2404	0.5548	1	NA
2404	0.5548	2	38.68
2404	0.5548	3	38.97
2304	554800	1	20.07
2304	554800	2	20.03
2304	554800	3	20.06
2304	55480	1	23.43
2304	55480	2	23.48
2304	55480	3	23.51
2304	5548	1	26.93
2304	5548	2	26.95
2304	5548	3	26.94
2304	554.8	1	30.27
2304	554.8	2	30.31
2304	554.8	3	30.31
2304	55.48	1	33.87
2304	55.48	2	34.34
2304	55.48	3	33.7
2304	5.548	1	37.8
2304	5.548	2	37.07
2304	5.548	3	37.1
2304	0.5548	1	NA
2304	0.5548	2	39.23
2304	0.5548	3	39.46
411	554800	1	19.62
411	554800	2	19.68
411	554800	3	19.74
411	55480	1	23.06
411	55480	2	23.11
411	55480	3	23.11
411	5548	1	26.64
411	5548	2	26.9
411	5548	3	26.84
411	554.8	1	30.15
411	554.8	2	29.96
411	554.8	3	30.27
411	55.48	1	33.7
411	55.48	2	33.92
411	55.48	3	33.81
411	5.548	1	36.7
411	5.548	2	36.57
411	5.548	3	37.62
411	0.5548	1	NA
411	0.5548	2	39.34
411	0.5548	3	39.45
705	554800	1	20.39
705	554800	2	20.35
705	554800	3	20.31
705	55480	1	23.79
705	55480	2	23.85
705	55480	3	23.75
705	5548	1	27.16
705	5548	2	27.07
705	5548	3	27.29
705	554.8	1	30.31
705	554.8	2	30.42
705	554.8	3	30.71
705	55.48	1	33.9
705	55.48	2	33.64
705	55.48	3	33.96
705	5.548	1	37.68
705	5.548	2	36.72
705	5.548	3	37.32
705	0.5548	1	NA
705	0.5548	2	39.48
705	0.5548	3	39.12
706	554800	1	20.26
706	554800	2	20.56
706	554800	3	20.59
706	55480	1	23.79
706	55480	2	23.87
706	55480	3	23.91
706	5548	1	27.31
706	5548	2	27.24
706	5548	3	27.28
706	554.8	1	30.6
706	554.8	2	30.58
706	554.8	3	30.7
706	55.48	1	34.8
706	55.48	2	34.39
706	55.48	3	34.34
706	5.548	1	37.95
706	5.548	2	37.5
706	5.548	3	36.89
706	0.5548	1	NA
706	0.5548	2	39.41
706	0.5548	3	NA
2152	554800	1	20.169
2152	554800	2	20.061
2152	554800	3	19.912
2152	55480	1	23.455
2152	55480	2	23.493
2152	55480	3	23.478
2152	5548	1	26.96
2152	5548	2	26.899
2152	5548	3	27.017
2152	554.8	1	30.667
2152	554.8	2	30.342
2152	554.8	3	30.228
2152	55.48	1	34.152
2152	55.48	2	33.754
2152	55.48	3	33.813
2152	5.548	1	36.452
2152	5.548	2	37.001
2152	5.548	3	37.38
2152	0.5548	1	39.231
2152	0.5548	2	37.878
2152	0.5548	3	NA
223	554800	1	19.812
223	554800	2	19.454
223	554800	3	19.416
223	55480	1	22.865
223	55480	2	23.086
223	55480	3	22.892
223	5548	1	26.433
223	5548	2	26.394
223	5548	3	26.463
223	554.8	1	29.928
223	554.8	2	29.836
223	554.8	3	30.171
223	55.48	1	33.165
223	55.48	2	33.563
223	55.48	3	33.811
223	5.548	1	38.035
223	5.548	2	36.233
223	5.548	3	37.007
223	0.5548	1	39.828
223	0.5548	2	NA
223	0.5548	3	NA
385	554800	1	20.172
385	554800	2	19.937
385	554800	3	20.073
385	55480	1	23.264
385	55480	2	23.443
385	55480	3	23.247
385	5548	1	26.645
385	5548	2	26.746
385	5548	3	26.717
385	554.8	1	30.12
385	554.8	2	30.305
385	554.8	3	30.139
385	55.48	1	33.991
385	55.48	2	33.992
385	55.48	3	34.039
385	5.548	1	37.206
385	5.548	2	36.934
385	5.548	3	38.548
385	0.5548	1	NA
385	0.5548	2	NA
385	0.5548	3	39.45
406	554800	1	20.143
406	554800	2	19.884
406	554800	3	20.061
406	55480	1	23.548
406	55480	2	23.611
406	55480	3	23.539
406	5548	1	27.063
406	5548	2	27.027
406	5548	3	26.981
406	554.8	1	30.428
406	554.8	2	30.474
406	554.8	3	30.553
406	55.48	1	34.331
406	55.48	2	34.209
406	55.48	3	34.126
406	5.548	1	38.568
406	5.548	2	36.902
406	5.548	3	37.285
406	0.5548	1	NA
406	0.5548	2	NA
406	0.5548	3	NA
1606	554800	1	20.127
1606	554800	2	20.353
1606	554800	3	20.122
1606	55480	1	23.771
1606	55480	2	23.692
1606	55480	3	23.577
1606	5548	1	27.138
1606	5548	2	27.159
1606	5548	3	27.192
1606	554.8	1	30.755
1606	554.8	2	30.84
1606	554.8	3	30.478
1606	55.48	1	34.994
1606	55.48	2	34.541
1606	55.48	3	34.576
1606	5.548	1	36.614
1606	5.548	2	37.298
1606	5.548	3	NA
1606	0.5548	1	NA
1606	0.5548	2	NA
1606	0.5548	3	NA
2406	554800	1	20.199
2406	554800	2	20.249
2406	554800	3	20.264
2406	55480	1	23.749
2406	55480	2	23.645
2406	55480	3	23.585
2406	5548	1	27.028
2406	5548	2	26.945
2406	5548	3	26.961
2406	554.8	1	29.924
2406	554.8	2	30.684
2406	554.8	3	29.990
2406	55.48	1	33.234
2406	55.48	2	33.217
2406	55.48	3	32.991
2406	5.548	1	36.267
2406	5.548	2	36.699
2406	5.548	3	37.752
2406	0.5548	1	40.078
2406	0.5548	2	NA
2406	0.5548	3	NA
10720201	55480	1	23.696
10720201	55480	2	23.684
10720201	55480	3	23.719
10720201	5548	1	27.011
10720201	5548	2	26.666
10720201	5548	3	26.968
10720201	554.8	1	30.661
10720201	554.8	2	30.408
10720201	554.8	3	30.597
10720201	55.48	1	33.865
10720201	55.48	2	34.061
10720201	55.48	3	33.863
10720201	5.548	1	36.205
10720201	5.548	2	37.81
10720201	5.548	3	NA
10720201	0.5548	1	NA
10720201	0.5548	2	NA
10720201	0.5548	3	NA
10720201	0.05548	1	NA
10720201	0.05548	2	NA
10720201	0.05548	3	NA
10720202	55480	1	23.461
10720202	55480	2	23.666
10720202	55480	3	23.488
10720202	5548	1	27.079
10720202	5548	2	26.984
10720202	5548	3	27.031
10720202	554.8	1	30.808
10720202	554.8	2	30.573
10720202	554.8	3	30.483
10720202	55.48	1	33.705
10720202	55.48	2	34.007
10720202	55.48	3	33.813
10720202	5.548	1	37.937
10720202	5.548	2	37.089
10720202	5.548	3	38.286
10720202	0.5548	1	NA
10720202	0.5548	2	NA
10720202	0.5548	3	40.017
10720202	0.05548	1	NA
10720202	0.05548	2	NA
10720202	0.05548	3	NA
392	554800	1	20.357
392	554800	2	20.288
392	554800	3	20.12
392	55480	1	23.795
392	55480	2	23.356
392	55480	3	23.191
392	5548	1	26.836
392	5548	2	26.984
392	5548	3	26.871
392	554.8	1	30.436
392	554.8	2	30.266
392	554.8	3	30.46
392	55.48	1	33.891
392	55.48	2	34.372
392	55.48	3	34.116
392	5.548	1	37.184
392	5.548	2	37.023
392	5.548	3	36.307
392	0.5548	1	39.288
392	0.5548	2	NA
392	0.5548	3	NA
90720201	55480	1	23.947
90720201	55480	2	23.953
90720201	55480	3	23.959
90720201	5548	1	27.367
90720201	5548	2	27.248
90720201	5548	3	27.563
90720201	554.8	1	30.752
90720201	554.8	2	30.884
90720201	554.8	3	31.082
90720201	55.48	1	34.473
90720201	55.48	2	33.958
90720201	55.48	3	33.552
90720201	5.548	1	37.036
90720201	5.548	2	37.184
90720201	5.548	3	37.408
90720201	0.5548	1	NA
90720201	0.5548	2	NA
90720201	0.5548	3	39.199
90720201	0.05548	1	NA
90720201	0.05548	2	NA
90720201	0.05548	3	NA
90720202	55480	1	23.642
90720202	55480	2	23.825
90720202	55480	3	23.713
90720202	5548	1	27.133
90720202	5548	2	27.258
90720202	5548	3	27.268
90720202	554.8	1	30.611
90720202	554.8	2	30.605
90720202	554.8	3	30.433
90720202	55.48	1	34.027
90720202	55.48	2	33.862
90720202	55.48	3	34.038
90720202	5.548	1	37.702
90720202	5.548	2	36.652
90720202	5.548	3	39.67
90720202	0.5548	1	NA
90720202	0.5548	2	39.47
90720202	0.5548	3	NA
90720202	0.05548	1	NA
90720202	0.05548	2	NA
90720202	0.05548	3	NA
90720203	55480	1	23.243
90720203	55480	2	23.439
90720203	55480	3	23.378
90720203	5548	1	36.751
90720203	5548	2	26.733
90720203	5548	3	26.769
90720203	554.8	1	30.259
90720203	554.8	2	30.251
90720203	554.8	3	30.345
90720203	55.48	1	33.832
90720203	55.48	2	33.461
90720203	55.48	3	33.724
90720203	5.548	1	37.228
90720203	5.548	2	37.57
90720203	5.548	3	37.462
90720203	0.5548	1	39.358
90720203	0.5548	2	NA
90720203	0.5548	3	39.167
90720203	0.05548	1	NA
90720203	0.05548	2	NA
90720203	0.05548	3	NA
160720201	55480	1	23.827
160720201	55480	2	23.824
160720201	55480	3	23.825
160720201	5548	1	27.395
160720201	5548	2	27.364
160720201	5548	3	27.346
160720201	554.8	1	30.619
160720201	554.8	2	31.064
160720201	554.8	3	30.961
160720201	55.48	1	33.942
160720201	55.48	2	34.437
160720201	55.48	3	34.606
160720201	5.548	1	37.35
160720201	5.548	2	37.882
160720201	5.548	3	37.729
160720201	0.5548	1	NA
160720201	0.5548	2	39.12
160720201	0.5548	3	NA
160720201	0.05548	1	NA
160720201	0.05548	2	NA
160720201	0.05548	3	NA
160720202	55480	1	23.917
160720202	55480	2	24.229
160720202	55480	3	24.243
160720202	5548	1	27.745
160720202	5548	2	27.609
160720202	5548	3	27.834
160720202	554.8	1	31.215
160720202	554.8	2	31.381
160720202	554.8	3	31.466
160720202	55.48	1	35.173
160720202	55.48	2	34.941
160720202	55.48	3	34.545
160720202	5.548	1	37.019
160720202	5.548	2	38.346
160720202	5.548	3	38.961
160720202	0.5548	1	39.995
160720202	0.5548	2	NA
160720202	0.5548	3	NA
160720202	0.05548	1	NA
160720202	0.05548	2	NA
160720202	0.05548	3	NA
17072020	55480	1	23.451
17072020	55480	2	23.414
17072020	55480	3	23.613
17072020	5548	1	26.922
17072020	5548	2	26.841
17072020	5548	3	26.861
17072020	554.8	1	30.569
17072020	554.8	2	30.474
17072020	554.8	3	30.349
17072020	55.48	1	33.757
17072020	55.48	2	33.395
17072020	55.48	3	33.91
17072020	5.548	1	36.144
17072020	5.548	2	36.16
17072020	5.548	3	36.691
17072020	0.5548	1	38.117
17072020	0.5548	2	NA
17072020	0.5548	3	NA
17072020	0.05548	1	NA
17072020	0.05548	2	NA
17072020	0.05548	3	NA
3072020	55480	1	24.028
3072020	55480	2	23.756
3072020	55480	3	23.896
3072020	5548	1	27.527
3072020	5548	2	27.387
3072020	5548	3	27.605
3072020	554.8	1	30.993
3072020	554.8	2	30.752
3072020	554.8	3	31.011
3072020	55.48	1	33.538
3072020	55.48	2	34.311
3072020	55.48	3	34.752
3072020	5.548	1	37.646
3072020	5.548	2	38.658
3072020	5.548	3	38.102
3072020	0.5548	1	NA
3072020	0.5548	2	NA
3072020	0.5548	3	39.807
3072020	0.05548	1	NA
3072020	0.05548	2	NA
3072020	0.05548	3	NA
