Dvex.abundance	Location	Year	Month	Sampling.site	Filter.number	Rep.number	Ct.value	calib.curve
high	Creran	2017	June	A	1	1	37.84	706
high	Creran	2017	June	A	1	2	38.51	706
high	Creran	2017	June	A	1	3	37.18	706
high	Creran	2017	June	A	2	1	37.62	706
high	Creran	2017	June	A	2	2	38.47	706
high	Creran	2017	June	A	2	3	36.61	706
high	Creran	2017	June	A	3	1	39.52	706
high	Creran	2017	June	A	3	2	36.98	706
high	Creran	2017	June	A	3	3	39.09	706
high	Creran	2017	June	A	4	1	38.93	706
high	Creran	2017	June	A	4	2	39.71	706
high	Creran	2017	June	A	4	3	40.10	706
high	Creran	2017	June	A	5	1	38.49	706
high	Creran	2017	June	A	5	2	38.71	706
high	Creran	2017	June	A	5	3	38.72	706
high	Creran	2017	June	B	2	1	NA	706
high	Creran	2017	June	B	2	2	NA	706
high	Creran	2017	June	B	2	3	40.80	706
high	Creran	2017	June	B	3	1	40.23	706
high	Creran	2017	June	B	3	2	42.15	706
high	Creran	2017	June	B	3	3	40.79	706
high	Creran	2017	June	B	4	1	41.74	706
high	Creran	2017	June	B	4	2	NA	706
high	Creran	2017	June	B	4	3	NA	706
high	Creran	2017	June	B	5	1	NA	706
high	Creran	2017	June	B	5	2	NA	706
high	Creran	2017	June	B	5	3	40.79	706
high	Creran	2017	June	C	1	1	37.04	706
high	Creran	2017	June	C	1	2	36.88	706
high	Creran	2017	June	C	1	3	36.99	706
high	Creran	2017	June	C	2	1	39.17	706
high	Creran	2017	June	C	2	2	39.03	706
high	Creran	2017	June	C	2	3	39.53	706
high	Creran	2017	June	C	3	1	39.23	706
high	Creran	2017	June	C	3	2	39.50	706
high	Creran	2017	June	C	3	3	38.62	706
high	Creran	2017	June	C	4	1	40.09	706
high	Creran	2017	June	C	4	2	38.99	706
high	Creran	2017	June	C	4	3	39.81	706
high	Creran	2017	June	C	5	1	38.89	706
high	Creran	2017	June	C	5	2	38.43	706
high	Creran	2017	June	C	5	3	38.30	706
high	Creran	2017	June	D	1	1	39.28	706
high	Creran	2017	June	D	1	2	NA	706
high	Creran	2017	June	D	1	3	40.15	706
high	Creran	2017	June	D	2	1	NA	706
high	Creran	2017	June	D	2	2	38.89	706
high	Creran	2017	June	D	2	3	42.29	706
high	Creran	2017	June	D	3	1	33.79	706
high	Creran	2017	June	D	3	2	33.94	706
high	Creran	2017	June	D	3	3	33.52	706
high	Creran	2017	June	D	4	1	38.95	706
high	Creran	2017	June	D	4	2	38.68	706
high	Creran	2017	June	D	4	3	40.25	706
high	Creran	2017	June	D	5	1	NA	706
high	Creran	2017	June	D	5	2	37.88	706
high	Creran	2017	June	D	5	3	42.79	706
high	Creran	2017	August	A	1	1	NA	10720201
high	Creran	2017	August	A	1	2	37.83	10720201
high	Creran	2017	August	A	1	3	38.85	10720201
high	Creran	2017	August	A	2	1	37.34	10720201
high	Creran	2017	August	A	2	2	NA	10720201
high	Creran	2017	August	A	2	3	37.38	10720201
high	Creran	2017	August	A	3	1	37.35	10720201
high	Creran	2017	August	A	3	2	37.16	10720201
high	Creran	2017	August	A	3	3	35.63	10720201
high	Creran	2017	August	A	4	1	35.84	10720201
high	Creran	2017	August	A	4	2	35.96	10720201
high	Creran	2017	August	A	4	3	36.88	10720201
high	Creran	2017	August	A	5	1	37.75	10720201
high	Creran	2017	August	A	5	2	36.95	10720201
high	Creran	2017	August	A	5	3	37.59	10720201
high	Creran	2017	August	B	1	1	NA	10720201
high	Creran	2017	August	B	1	2	38.64	10720201
high	Creran	2017	August	B	1	3	37.86	10720201
high	Creran	2017	August	B	2	1	NA	10720201
high	Creran	2017	August	B	2	2	38.68	10720201
high	Creran	2017	August	B	2	3	NA	10720201
high	Creran	2017	August	B	3	1	NA	10720201
high	Creran	2017	August	B	3	2	NA	10720201
