equipment_type,dilution,plate_number,Target,replicate_number,Cq,SQ
Quant5,1,4,FAM,1,20.701,554800
Quant5,1,4,FAM,2,20.613,554800
Quant5,1,4,FAM,3,20.668,554800
Quant5,1,4,FAM,4,20.319,554800
Quant5,1,4,FAM,5,20.482,554800
Quant5,1,4,FAM,6,20.196,554800
Quant5,1,4,FAM,7,20.389,554800
Quant5,1,4,FAM,8,20.452,554800
Quant5,1,4,FAM,9,20.615,554800
Quant5,1,4,FAM,10,20.502,554800
Quant5,1,4,VIC,1,19.622,554800
Quant5,1,4,VIC,2,19.727,554800
Quant5,1,4,VIC,3,19.752,554800
Quant5,1,4,VIC,4,19.656,554800
Quant5,1,4,VIC,5,19.637,554800
Quant5,1,4,VIC,6,19.729,554800
Quant5,1,4,VIC,7,19.761,554800
Quant5,1,4,VIC,8,19.707,554800
Quant5,1,4,VIC,9,19.699,554800
Quant5,1,4,VIC,10,19.673,554800
Quant5,0.1,4,FAM,1,23.837,55480
Quant5,0.1,4,FAM,2,23.826,55480
Quant5,0.1,4,FAM,3,23.601,55480
Quant5,0.1,4,FAM,4,23.797,55480
Quant5,0.1,4,FAM,5,23.758,55480
Quant5,0.1,4,FAM,6,23.419,55480
Quant5,0.1,4,FAM,7,23.859,55480
Quant5,0.1,4,FAM,8,23.661,55480
Quant5,0.1,4,FAM,9,23.851,55480
Quant5,0.1,4,FAM,10,23.767,55480
Quant5,0.1,4,VIC,1,23.064,55480
Quant5,0.1,4,VIC,2,22.978,55480
Quant5,0.1,4,VIC,3,22.972,55480
Quant5,0.1,4,VIC,4,22.971,55480
Quant5,0.1,4,VIC,5,22.991,55480
Quant5,0.1,4,VIC,6,22.973,55480
Quant5,0.1,4,VIC,7,23.001,55480
Quant5,0.1,4,VIC,8,22.967,55480
Quant5,0.1,4,VIC,9,22.942,55480
Quant5,0.1,4,VIC,10,22.957,55480
Quant5,0.01,4,FAM,1,27.616,5548
Quant5,0.01,4,FAM,2,27.705,5548
Quant5,0.01,4,FAM,3,27.604,5548
Quant5,0.01,4,FAM,4,27.583,5548
Quant5,0.01,4,FAM,5,27.599,5548
Quant5,0.01,4,FAM,6,27.485,5548
Quant5,0.01,4,FAM,7,27.594,5548
Quant5,0.01,4,FAM,8,27.595,5548
Quant5,0.01,4,FAM,9,27.611,5548
Quant5,0.01,4,FAM,10,27.631,5548
Quant5,0.01,4,VIC,1,26.624,5548
Quant5,0.01,4,VIC,2,26.595,5548
Quant5,0.01,4,VIC,3,26.66,5548
Quant5,0.01,4,VIC,4,26.647,5548
Quant5,0.01,4,VIC,5,26.725,5548
Quant5,0.01,4,VIC,6,26.751,5548
Quant5,0.01,4,VIC,7,26.584,5548
Quant5,0.01,4,VIC,8,26.647,5548
Quant5,0.01,4,VIC,9,26.646,5548
Quant5,0.01,4,VIC,10,26.631,5548
Quant5,0.001,4,FAM,1,31.079,554.8
Quant5,0.001,4,FAM,2,30.885,554.8
Quant5,0.001,4,FAM,3,31.044,554.8
Quant5,0.001,4,FAM,4,30.999,554.8
Quant5,0.001,4,FAM,5,31,554.8
Quant5,0.001,4,FAM,6,30.894,554.8
Quant5,0.001,4,FAM,7,31.1,554.8
Quant5,0.001,4,FAM,8,31.005,554.8
Quant5,0.001,4,FAM,9,31.116,554.8
Quant5,0.001,4,FAM,10,31.058,554.8
Quant5,0.001,4,VIC,1,30.02,554.8
Quant5,0.001,4,VIC,2,29.707,554.8
Quant5,0.001,4,VIC,3,30.041,554.8
Quant5,0.001,4,VIC,4,29.946,554.8
Quant5,0.001,4,VIC,5,29.986,554.8
Quant5,0.001,4,VIC,6,29.871,554.8
Quant5,0.001,4,VIC,7,29.955,554.8
Quant5,0.001,4,VIC,8,29.892,554.8
Quant5,0.001,4,VIC,9,30.021,554.8
Quant5,0.001,4,VIC,10,30.012,554.8
Quant5,0.0001,4,FAM,1,34.843,55.48
Quant5,0.0001,4,FAM,2,35.216,55.48
Quant5,0.0001,4,FAM,3,34.689,55.48
Quant5,0.0001,4,FAM,4,34.366,55.48
Quant5,0.0001,4,FAM,5,34.524,55.48
Quant5,0.0001,4,FAM,6,34.376,55.48
