equipment_type	dilution	plate_number	Target	replicate_number	Cq	SQ
Quant5	1	4	FAM	1	20.701	554800
Quant5	1	4	FAM	2	20.613	554800
Quant5	1	4	FAM	3	20.668	554800
Quant5	1	4	FAM	4	20.319	554800
Quant5	1	4	FAM	5	20.482	554800
Quant5	1	4	FAM	6	20.196	554800
Quant5	1	4	FAM	7	20.389	554800
Quant5	1	4	FAM	8	20.452	554800
Quant5	1	4	FAM	9	20.615	554800
Quant5	1	4	FAM	10	20.502	554800
Quant5	0.1	4	FAM	1	23.837	55480
Quant5	0.1	4	FAM	2	23.826	55480
Quant5	0.1	4	FAM	3	23.601	55480
Quant5	0.1	4	FAM	4	23.797	55480
Quant5	0.1	4	FAM	5	23.758	55480
Quant5	0.1	4	FAM	6	23.419	55480
Quant5	0.1	4	FAM	7	23.859	55480
Quant5	0.1	4	FAM	8	23.661	55480
Quant5	0.1	4	FAM	9	23.851	55480
Quant5	0.1	4	FAM	10	23.767	55480
Quant5	0.01	4	FAM	1	27.616	5548
Quant5	0.01	4	FAM	2	27.705	5548
Quant5	0.01	4	FAM	3	27.604	5548
Quant5	0.01	4	FAM	4	27.583	5548
Quant5	0.01	4	FAM	5	27.599	5548
Quant5	0.01	4	FAM	6	27.485	5548
Quant5	0.01	4	FAM	7	27.594	5548
Quant5	0.01	4	FAM	8	27.595	5548
Quant5	0.01	4	FAM	9	27.611	5548
Quant5	0.01	4	FAM	10	27.631	5548
Quant5	0.001	4	FAM	1	31.079	554.8
Quant5	0.001	4	FAM	2	30.885	554.8
Quant5	0.001	4	FAM	3	31.044	554.8
Quant5	0.001	4	FAM	4	30.999	554.8
Quant5	0.001	4	FAM	5	31	554.8
Quant5	0.001	4	FAM	6	30.894	554.8
Quant5	0.001	4	FAM	7	31.1	554.8
Quant5	0.001	4	FAM	8	31.005	554.8
Quant5	0.001	4	FAM	9	31.116	554.8
Quant5	0.001	4	FAM	10	31.058	554.8
Quant5	0.0001	4	FAM	1	34.843	55.48
Quant5	0.0001	4	FAM	2	35.216	55.48
Quant5	0.0001	4	FAM	3	34.689	55.48
Quant5	0.0001	4	FAM	4	34.366	55.48
Quant5	0.0001	4	FAM	5	34.524	55.48
Quant5	0.0001	4	FAM	6	34.376	55.48
Quant5	0.0001	4	FAM	7	34.198	55.48
Quant5	0.0001	4	FAM	8	34.352	55.48
Quant5	0.0001	4	FAM	9	34.378	55.48
Quant5	0.0001	4	FAM	10	34.361	55.48
Quant5	0.00001	4	FAM	1	38.281	5.548
Quant5	0.00001	4	FAM	2	38.804	5.548
Quant5	0.00001	4	FAM	3	37.839	5.548
Quant5	0.00001	4	FAM	4	38.006	5.548
Quant5	0.00001	4	FAM	5	38.359	5.548
Quant5	0.00001	4	FAM	6	37.824	5.548
Quant5	0.00001	4	FAM	7	39.31	5.548
Quant5	0.00001	4	FAM	8	38.708	5.548
Quant5	0.00001	4	FAM	9	NA	5.548
Quant5	0.00001	4	FAM	10	37.131	5.548
Quant5	0.000001	4	FAM	1	39.656	0.5548
Quant5	0.000001	4	FAM	2	39.62	0.5548
Quant5	0.000001	4	FAM	3	NA	0.5548
Quant5	0.000001	4	FAM	4	39.6	0.5548
Quant5	0.000001	4	FAM	5	NA	0.5548
Quant5	0.000001	4	FAM	6	NA	0.5548
Quant5	0.000001	4	FAM	7	NA	0.5548
Quant5	0.000001	4	FAM	8	39.756	0.5548
Quant5	0.000001	4	FAM	9	NA	0.5548
Quant5	0.000001	4	FAM	10	38.453	0.5548
