"","Location","Year","Month","Sampling.site","Filter.number","mean_CN","Time","Month_n"
"1","Creran",2017,"August","A",1,2.67430790428477,2017-08-01,8
"2","Creran",2017,"August","A",2,4.91622149613672,2017-08-01,8
"3","Creran",2017,"August","A",3,8.85617557968305,2017-08-01,8
"4","Creran",2017,"August","A",4,11.1457468491557,2017-08-01,8
"5","Creran",2017,"August","A",5,4.82382064296318,2017-08-01,8
"6","Creran",2017,"August","B",1,2.77518844085493,2017-08-01,8
"7","Creran",2017,"August","D",1,1.0028468845192,2017-08-01,8
"8","Creran",2017,"August","D",2,1.22049885097596,2017-08-01,8
"9","Creran",2017,"June","A",1,4.18438312569252,2017-06-01,6
"10","Creran",2017,"June","A",2,5.40649374557769,2017-06-01,6
"11","Creran",2017,"June","A",3,3.32224957632918,2017-06-01,6
"12","Creran",2017,"June","A",4,1.25410794656946,2017-06-01,6
"13","Creran",2017,"June","A",5,2.26583331669137,2017-06-01,6
"14","Creran",2017,"June","B",3,0.636377958974333,2017-06-01,6
"15","Creran",2017,"June","C",1,7.13072727147422,2017-06-01,6
"16","Creran",2017,"June","C",2,1.50781616653811,2017-06-01,6
"17","Creran",2017,"June","C",3,1.68276450592397,2017-06-01,6
"18","Creran",2017,"June","C",4,1.20709394451713,2017-06-01,6
"19","Creran",2017,"June","C",5,2.45609925679543,2017-06-01,6
"20","Creran",2017,"June","D",1,1.12777627320052,2017-06-01,6
"21","Creran",2017,"June","D",3,65.6475143757507,2017-06-01,6
"22","Creran",2017,"June","D",4,1.59047812886737,2017-06-01,6
"23","Creran",2017,"November","A",1,0.624111051231518,2017-11-01,11
"24","Creran",2017,"November","A",2,0.771283662686297,2017-11-01,11
"25","Creran",2017,"November","B",1,0.443108973889336,2017-11-01,11
"26","Creran",2017,"November","D",1,0.991688840363197,2017-11-01,11
"27","Creran",2017,"November","D",3,2.50943697647878,2017-11-01,11
"28","Creran",2017,"September","A",1,4.70577083345239,2017-09-01,9
"29","Creran",2017,"September","A",2,31.1834603787659,2017-09-01,9
"30","Creran",2017,"September","A",3,7.28481720861322,2017-09-01,9
"31","Creran",2017,"September","A",4,4.07944225962939,2017-09-01,9
"32","Creran",2017,"September","A",5,3.23348370141392,2017-09-01,9
"33","Creran",2017,"September","B",1,3.34583611403948,2017-09-01,9
"34","Creran",2017,"September","B",3,0.875760515317218,2017-09-01,9
"35","Creran",2017,"September","B",4,2.66963896011958,2017-09-01,9
"36","Creran",2017,"September","B",5,1.96226293356468,2017-09-01,9
"37","Creran",2018,"July","B",1,2.28910733096145,2018-07-01,7
"38","Creran",2018,"July","B",3,2.13693948992319,2018-07-01,7
"39","Creran",2018,"July","C",1,1.08963869186368,2018-07-01,7
"40","Creran",2018,"July","C",2,3.86756611496932,2018-07-01,7
"41","Creran",2018,"July","C",3,1.6917743166803,2018-07-01,7
"42","Creran",2018,"July","C",5,20.3677130849153,2018-07-01,7
"43","Creran",2018,"July","D",1,11.7396787741193,2018-07-01,7
"44","Creran",2018,"July","D",4,1.81715329707992,2018-07-01,7
"45","Creran",2018,"July","D",5,3.68076812229087,2018-07-01,7
"46","Creran",2018,"May","B",5,1.1562336130016,2018-05-01,5
"47","Creran",2018,"November","A",1,12.4269885178656,2018-11-01,11
"48","Creran",2018,"November","A",2,28.9002386176671,2018-11-01,11
"49","Creran",2018,"November","A",3,9.92891708469918,2018-11-01,11
"50","Creran",2018,"November","A",4,35.9759994280706,2018-11-01,11
"51","Creran",2018,"November","A",5,18.6519396730032,2018-11-01,11
"52","Creran",2018,"November","B",1,0.892938175494809,2018-11-01,11
"53","Creran",2018,"November","C",1,4.71973288638512,2018-11-01,11
"54","Creran",2018,"November","C",2,6.05185091349857,2018-11-01,11
"55","Creran",2018,"November","C",3,8.59324902164369,2018-11-01,11
"56","Creran",2018,"November","C",4,2.73213115054047,2018-11-01,11
"57","Creran",2018,"November","C",5,8.29012029477582,2018-11-01,11
"58","Creran",2018,"November","D",3,1.11502579415416,2018-11-01,11
"59","Creran",2019,"September","A",2,2.61191424255174,2019-09-01,9
"60","Creran",2019,"September","A",3,2.45742652178341,2019-09-01,9
"61","Creran",2019,"September","A",4,8.2731908051636,2019-09-01,9
"62","Creran",2019,"September","B",1,63.4290706973492,2019-09-01,9
"63","Creran",2019,"September","B",2,25.2208381500846,2019-09-01,9
"64","Creran",2019,"September","B",3,34.2364431534938,2019-09-01,9
"65","Creran",2019,"September","B",4,107.00956191781,2019-09-01,9
"66","Creran",2019,"September","B",5,45.3435586073763,2019-09-01,9
"67","Creran",2019,"September","C",1,3.09393575831119,2019-09-01,9
"68","Creran",2019,"September","C",2,7.75162330221956,2019-09-01,9
